f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,label
4,0,0,0,0.031076,-1,-1,207,0,0,0,0,3.95,0.23,0.02,4.5,47.0,6,56.0,79.0,347,22207,0,0,0,413,206,0,-1,1,0,0,0,1,40,112,0,0,1,0.188,1.000,1,-1,1
6,0,0,0,0.889061,-1,-1,-663,0,0,0,0,3.78,0.20,0.06,4.0,42.0,5,64.0,76.0,1045,18866,0,0,3,127,790,0,127,0,0,1,0,16,73,87,0,0,0,0.333,1.000,1,-1,1
6,0,0,0,0.889061,-1,-1,-664,0,0,0,0,3.64,0.20,0.05,4.0,42.0,5,55.0,76.0,892,18866,0,0,3,126,790,0,127,0,0,1,0,16,64,86,0,0,0,0.333,1.000,1,-1,1
6,0,0,0,0.889061,-1,-1,-685,0,0,0,0,3.65,0.03,0.19,4.1,42.0,6,56.0,68.0,403,2121,0,0,2,105,790,0,127,0,0,0,0,26,14,88,0,0,0,0.400,1.000,1,-1,1
2,0,0,0,1.61E-4,-1,-1,-33,0,0,0,0,4.28,0.38,0.04,5.4,50.0,8,52.0,82.0,1448,35766,0,0,3,97,130,2,-1,1,0,0,1,18,129,87,0,0,0,0.200,1.000,1,104,1
2,0,0,0,0.00232,-1,-1,-603,0,0,0,0,4.82,1.00,0.00,5.2,50.0,13,74.0,74.0,452,122833,0,0,2,4,607,0,4,1,0,0,1,1,70,84,0,0,1,0.143,1.000,1,-1,1
2,0,0,0,0.00232,-1,-1,-603,0,0,0,0,4.66,0.47,0.05,5.2,50.0,11,73.0,73.0,2216,43859,0,0,2,4,607,0,4,0,0,0,0,16,24,82,0,0,0,0.111,1.000,1,-1,1
7,0,0,0,0.999992,-1,-1,-790,0,0,0,0,3.76,0.51,0.00,4.7,50.0,7,60.0,44.0,122,50464,0,0,2,209,999,0,-1,1,0,0,0,6,57,88,0,0,0,0.308,1.000,1,109,1
4,0,0,0,0.167671,-1,-1,-1391,0,0,0,0,4.29,0.26,0.08,5.0,50.0,8,56.0,84.0,1732,22235,0,0,3,298,1689,0,135,1,0,0,0,64,38,89,0,0,0,0.400,0.500,1,-1,1
4,0,0,0,0.167671,-1,-1,-1007,0,0,0,0,4.57,0.21,0.04,5.5,50.0,13,52.0,77.0,871,19680,0,0,2,682,1689,0,135,0,0,0,0,0,20,83,0,0,0,0.750,1.000,1,-1,1
2,0,1,1,0.001236,7,5,-82,0,0,0,0,4.09,0.08,5492.00,4.6,50.0,2,78.0,78.0,5492,0,0,0,0,7,89,2,40,0,0,1,1,75,11,37,0,0,0,0.167,1.000,1,106,1
2,0,1,1,0.001236,7,5,-47,0,0,0,0,4.38,3.00,0.06,5.2,50.0,8,70.0,70.0,100000,1544220,0,0,1,42,89,2,40,1,0,1,1,4672,40,81,0,0,0,0.143,1.000,1,106,1
2,0,1,1,0.001236,7,5,-67,0,0,0,0,4.42,1.22,0.01,5.2,50.0,9,69.0,69.0,22388,2392848,0,0,1,22,89,2,40,1,0,0,1,0,161,82,0,0,0,0.294,1.000,1,106,1
5,0,0,0,0.012259,-1,-1,144,0,0,0,0,4.51,1.08,0.00,5.6,50.0,15,63.0,44.0,5923,8078124,0,0,1,649,505,0,230,1,0,0,1,58,14,85,0,0,0,1.000,1.000,1,-1,1
5,0,0,0,0.004885,-1,-1,11,0,0,0,0,3.16,0.00,0.00,4.5,26.0,7,29.0,77.0,0,0,0,0,0,11,-1,0,11,1,0,1,1,1,11,0,0,0,0,0.273,1.000,1,-1,1
5,0,0,0,0.004885,-1,-1,8,0,0,0,0,3.19,0.01,975.00,4.5,24.0,10,22.0,75.0,975,0,0,0,0,8,-1,0,11,0,0,1,1,9,12,0,0,0,0,0.300,1.000,1,-1,1
5,0,0,0,0.004885,-1,-1,13,0,0,0,0,3.14,0.01,858.00,4.4,26.0,7,29.0,77.0,858,0,0,0,0,13,-1,0,11,0,0,1,1,8,12,0,0,0,0,0.235,1.000,1,-1,1
2,0,0,0,0.0,-1,-1,-695,0,0,0,0,4.82,0.00,21.00,5.4,50.0,9,80.0,86.0,21,0,0,0,1,36,731,0,36,1,0,0,1,2,45,88,0,0,0,0.333,1.000,1,109,1
2,0,0,0,0.0,-1,-1,-569,0,0,0,0,4.80,1.45,0.09,5.2,50.0,11,78.0,78.0,40879,442959,0,0,2,162,731,0,36,1,0,1,1,137,85,94,0,0,0,0.100,1.000,1,109,1
2,0,0,0,3.98E-4,-1,-1,-248,0,0,0,0,4.05,1.75,0.16,5.3,50.0,3,57.0,86.0,46247,285946,0,0,3,3,251,0,-1,1,0,0,1,859,156,87,0,0,0,0.182,1.000,1,-1,1
2,0,0,0,3.98E-4,-1,-1,-247,0,0,0,0,4.13,0.43,4.68,5.3,50.0,6,52.0,82.0,32491,6944,0,0,3,4,251,0,-1,1,0,0,1,92,309,83,0,0,0,0.143,1.000,1,-1,1
2,0,0,0,0.0,-1,-1,-377,0,0,0,0,4.26,2.12,0.04,4.6,50.0,5,77.0,77.0,100000,2682148,0,0,2,354,731,0,36,1,0,0,1,348,100,86,0,0,0,0.111,1.000,1,109,1
4,0,0,0,0.0,-1,-1,-1238,0,0,0,0,3.47,0.54,0.04,4.7,50.0,1,38.0,82.0,1996,51135,0,0,3,56,1294,0,129,1,0,1,1,17,356,89,0,0,0,0.200,1.000,1,-1,1
6,0,0,0,0.00741,-1,-1,-369,0,0,0,0,3.38,0.23,0.08,4.3,22.0,13,33.0,67.0,1724,20577,0,0,1,313,682,0,-1,1,0,0,1,24,80,106,0,0,0,0.222,1.000,1,-1,1
6,0,0,0,0.00741,-1,-1,-327,0,0,0,0,3.69,0.02,0.09,4.6,31.0,8,48.0,82.0,166,1928,0,0,0,355,682,0,-1,1,0,0,1,1,30,64,0,0,0,0.333,1.000,1,-1,1
6,0,0,0,0.043844,-1,-1,335,0,0,0,0,3.13,0.28,0.05,4.3,28.0,9,45.0,42.0,1208,26135,0,0,2,335,-1,0,886,1,0,0,0,12,103,90,0,0,0,0.231,1.000,1,-1,1
