@relation 'tmp_1w-weka.filters.unsupervised.attribute.Remove-R2-11,14-21,23,25-35,37-55'

@attribute pageShowType {class0,class1}
@attribute ' pMaxMr' numeric
@attribute ' pMaxTr' numeric
@attribute ' isOnlyOneTerm' {FALSE,TRUE}
@attribute ' isArticleOld' {FALSE,TRUE}
@attribute ' maxRNum' numeric

@data
class0,50,5.5,FALSE,TRUE,29784
class0,42,4.2,FALSE,FALSE,200
class0,41,4.1,FALSE,FALSE,15870
class0,50,5.6,FALSE,FALSE,1399
class0,50,5.5,FALSE,FALSE,8899
class0,50,5.5,FALSE,FALSE,32673
class0,50,5.3,FALSE,FALSE,3809
class0,50,5.6,FALSE,FALSE,199
class0,50,5.6,FALSE,FALSE,55
class0,50,5.4,FALSE,FALSE,606
class0,26,4.3,FALSE,FALSE,258
class0,50,5.3,FALSE,FALSE,58291
class0,50,5.6,FALSE,TRUE,1254
class0,50,5.5,FALSE,FALSE,28462
class0,50,4.8,FALSE,FALSE,9334
class0,50,5.3,FALSE,FALSE,47106
class0,50,4.1,TRUE,FALSE,13
class0,50,5.3,FALSE,TRUE,5966
class0,50,5.4,FALSE,FALSE,3052
