@relation tmp

@attribute oldpos_page numeric
@attribute articlesPos numeric
@attribute newspos numeric
@attribute list.size() numeric
@attribute pMaxMr numeric
@attribute pMaxTr numeric
@attribute isOfficial {FALSE,TRUE}
@attribute isFirstSite {FALSE,TRUE}
@attribute isOnlyOneTerm {FALSE,TRUE}
@attribute isNav {FALSE,TRUE}
@attribute isExNav {FALSE,TRUE}
@attribute fixRank1 numeric
@attribute site_num numeric
@attribute pageShowType {FALSE,TRUE}
@attribute vr_num_3_out numeric
@attribute vr_num_3_total numeric
@attribute weixinArticleClickPos numeric
@attribute firstBaikePos numeric
@attribute isFirstVideo {FALSE,TRUE}
@attribute isArticleOld {FALSE,TRUE}
@attribute queryTerms numeric
@attribute wxArticle_top3fr numeric
@attribute wxArticle_top2fr numeric
@attribute pMaxFr numeric
@attribute firstDate numeric
@attribute hasTimeliness {FALSE,TRUE}
@attribute avg3 numeric
@attribute rnum[0] numeric
@attribute maxRNum numeric
@attribute fans[0] numeric
@attribute maxFans numeric
@attribute avgread[0] numeric
@attribute maxAvgRead numeric
@attribute avgpublish[0] numeric
@attribute maxAvgPublish numeric
@attribute hasMingyiVr {FALSE,TRUE}

@data
11,-1,-1,11,50,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,TRUE,3,5,4.5,7,202,TRUE,93,26847,26847,129913,129913,17877,17877,166,238,FALSE
10,3,-1,10,20,4.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,FALSE,3,3.666667,4,4,165,FALSE,417,24025,24025,1543229,1543229,28834,28834,108,146,FALSE
14,-1,-1,14,50,5.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,4,FALSE,TRUE,3,10,8.5,13,568,FALSE,3,46238,46238,546752,546752,58585,58585,130,130,FALSE
10,4,-1,10,50,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,2,1,1,1,75,FALSE,2749,109,109,9593,9593,195,195,53,53,FALSE
19,4,12,19,50,5.4,TRUE,TRUE,FALSE,TRUE,TRUE,0,3,FALSE,2,2,-1,5,FALSE,FALSE,2,5.666667,7,9,343,FALSE,0,95011,100000,947480,1265874,44140,88335,83,137,FALSE
13,-1,-1,13,50,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,FALSE,1,1,-1,4,FALSE,FALSE,1,6,7.5,8,4,FALSE,2,13921,16127,420767,420767,14133,14133,183,183,FALSE
10,7,-1,10,50,4.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,4,10,10,10,168,FALSE,199,36,36,111,111,35,35,2,2,FALSE
11,3,-1,11,50,4.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,-1,-1,FALSE,FALSE,4,4,5,9,102,FALSE,78,52,31438,753,149067,0,5234,0,149,FALSE
12,3,-1,12,49,3.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,FALSE,5,4,4,4,284,FALSE,46,4091,4091,19221,19221,1648,1648,89,89,FALSE
14,4,6,14,50,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,2,239,4,FALSE,TRUE,2,7,6.5,8,711,FALSE,3,100000,100000,370605,1550900,14488,15509,120,120,FALSE
10,3,-1,10,27,3.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,2,FALSE,FALSE,2,6,6,6,933,FALSE,1520,27,27,152,152,0,0,0,0,FALSE
14,7,-1,14,50,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,2,2,-1,-1,FALSE,FALSE,3,8.666667,9.5,15,265,FALSE,1,3764,30132,177819,177819,5250,5250,21,160,FALSE
